nome_empresa,categoria_principal,subcategoria1,subcategoria2,coluna_origem
house credi,,,,empresa3
house flipping,,,,empresa3
houseasy,,,,empresa4
hub,,,,empresa4
hup,,,,empresa4
iBUILD - construções inteligentes,,,,empresas2
iBuild,,,,empresas2
iConatus,,,,empresa3
iENG - projetistas especializados,,,,empresa1
iMudou,,,,empresa3
iTeleport,,,,empresa3
igile.com,,,,empresas2
iion - inteligência imobiliária on demand,,,,empresa3
im xr,,,,empresa3
im7,,,,empresa3
immergrun - construções inteligentes,,,,empresas2
immobile - software imobiliário,,,,empresa3
imobbox,,,,empresa3
imobelix,,,,empresa3
imobia - gestão imobiliária de um jeito fácil,,,,empresa3
imobilead,,,,empresa3
imobiliária ajato,,,,empresa3
imobmeet,,,,empresa3
imovago.com.br,,,,empresa3
imoveistock,,,,empresa3
imovelk,,,,empresa3
imovomap - um jeito novo de encontrar seu imóvel,,,,empresa3
imox.ai,,,,empresa3
imóveisjet,,,,empresa3
imóvelp,,,,empresa3
innovv,,,,empresa3
inovahouse,,,,empresas2
instacasa - sua casa num instante,,,,empresa1
invisto,,,,empresa3
isket,,,,empresa1
isobloco - Smart Buildingtech,,,,empresas2
itemize,,,,empresa1
iterCode - tecnologia para engenharia,,,,empresa1
izicasa,,,,empresas2
james tip,,,,empresas2
jetimob,,,,empresa3
junttus,,,,empresa3
kartado,,,,empresas2
kitchenfy,,,,empresa4
klubi,,,,empresa3
kokar,,,,empresa4
la decora,,,,empresa4
ladyge,,,,empresa3
linkages,,,,empresa3
linkana,,,,empresas2
linkpay,,,,empresa3
liqi,,,,empresa3
liveprint!,,,,empresa3
livima,,,,empresa3
livvu,,,,empresa3
locarmais,,,,empresa3
lofteria,,,,empresa4
lumina,,,,empresas2
magikey,,,,empresa4
mais controle,,,,empresas2
makasí,,,,empresas2
manusis4,,,,empresa4
mapfry,,,,empresa3
mappa,,,,empresas2
market wow,,,,empresa4
market4u,,,,empresa4
materiaL agora!,,,,empresas2
me2rentals experience,,,,empresa4
medeage,,,,empresa4
meit,,,,empresa3
melhores diaristas,,,,empresa4
melhortaxa,,,,empresa3
melius - qualidade,,,,empresas2
mell.ro,,,,empresa3
membran-i,,,,empresas2
mentor construção,,,,empresas2
mercadão da obra,,,,empresas2
meu financiamento solar,,,,empresa4
meu tour 360 - realidade virtual,,,,empresa3
minum,,,,empresa4
moben,,,,empresa3
mobg,,,,empresa3
modulife - construção modular,,,,empresas2
monuv,,,,empresa4
mooble.com,,,,empresa1
mora,,,,empresas2
mosquitter,,,,empresa4
movE,,,,empresa4
movimobi,,,,empresa3
movêu,,,,empresa4
mudee,,,,empresa3
mudhra,,,,empresa3
mush,,,,empresas2
mycond,,,,empresa4
myvillage,,,,empresa4
namecheap,,,,empresa4
nanoprice,,,,empresas2
nano¹,,,,empresas2
neohome,,,,empresa3
neoin,,,,empresa3
neowater - eficiência hídrica,,,,empresa4
neowrk.,,,,empresa4
nestoria,,,,empresa3
nethomes,,,,empresa3
netspaces,,,,empresa3
nia - tecnologia para negócios,,,,empresa3
nimble - virtual solutions,,,,empresas2
no cartório.com,,,,empresa1
noah - wood building design,,,,empresas2
nobeehouse,,,,empresa3
nonstop,,,,empresa3
novidá,,,,empresas2
nway pro,,,,empresa4
oak offsite,,,,empresas2
obra prima,,,,empresas2
obra show - delivery da construção,,,,empresas2
obrafit,,,,empresas2
ocalev - inovação em engenharia,,,,empresa1
ocka,,,,empresa3
octágora,,,,empresas2
oikko,,,,empresa4
oka,,,,empresa4
okena,,,,empresas2
ondasegura,,,,empresa3
oppem,,,,empresas2
oppem.,,,,empresas2
ops ganhei,,,,empresa3
organize meu condomínio,,,,empresa4
oruby - o seu portal da construção,,,,empresas2
otto - repare,,,,empresa4
outoo,,,,empresa4
oztra,,,,empresas2
painel de preços da construção,,,,empresas2
parafuzo,,,,empresa4
paypow,,,,empresa4
peggô market,,,,empresa4
piipee,,,,empresa4
pipeimob - sistema de transações imobiliárias,,,,empresa3
piperz,,,,empresa3
podesubir,,,,empresa4
portal acústica,,,,empresas2
portal casas de repouso – facilitando a vida,,,,empresa4
pousadas.top,,,,empresa3
praedium,,,,empresa3
prevision,,,,empresas2
projeto num clique,,,,empresa4
prop. menu,,,,empresa3
propdo,,,,empresa1
proto,,,,empresa3
pxTalk,,,,empresa4
quarto à vista,,,,empresa4
querolar,,,,empresa3
queromorar,,,,empresa4
r uu m,,,,empresa3
rdo,,,,empresas2
recigreen - tecnologia verde,,,,empresas2
redeimcasa,,,,empresa3
refera,,,,empresa4
reguLARiza! Brasil,,,,empresa1
rentbrella,,,,empresa4
resale,,,,empresa3
reserva.blue,,,,empresa3
reverde,,,,empresa4
revi,,,,empresas2
revin.,,,,empresa3
ribus,,,,empresa3
roboticon,,,,empresa3
ruadois,,,,empresa3
safe swap,,,,empresa3
sagatech,,,,empresa4
scae,,,,empresa1
scaza,,,,empresa4
seabra - soluções inteligentes,,,,empresa1
seazone,,,,empresa4
sejabest,,,,empresa3
setvirtual,,,,empresa3
severino app,,,,empresa4
sheephouse,,,,empresa3
skedway,,,,empresa4
smart pods,,,,empresas2
smartBIIM - tecnologia para gestão de obras,,,,empresa1
smartvisit,,,,empresa4
snackin',,,,empresa4
sofá na caixa,,,,empresa4
sohtec,,,,empresa3
solar21,,,,empresa4
soluzi - garantia locatícia,,,,empresa3
solv.,,,,empresa3
solve,,,,empresa3
sonica,,,,empresa3
space hunters,,,,empresa3
spaceflix,,,,empresa4
spacein,,,,empresa4
spotlar,,,,empresa4
sssenior.com,,,,empresa4
stantControle,,,,empresas2
stattus4,,,,empresa4
stays,,,,empresa4
sunlabs,,,,empresa4
sunne,,,,empresa4
sunnyhub,,,,empresa4
syx,,,,empresas2
tAlugado,,,,empresa3
tactu,,,,empresa4
tag2u,,,,empresa4
team move,,,,empresas2
techome,,,,empresas2
teky,,,,empresas2
terraz,,,,empresa3
test house,,,,empresa3
tiny Brasil,,,,empresas2
tinylife,,,,empresas2
tio Giba,,,,empresa3
todall,,,,empresas2
toki,,,,empresas2
trackfy,,,,empresa4
tranpo,,,,empresa4
trashin,,,,empresa4
triider,,,,empresa4
trilote,,,,empresa1
tripmood,,,,empresa4
trix,,,,empresa3
trular,,,,empresa3
truliv,,,,empresa4
trílogo,,,,empresa4
tupi,,,,empresa4
tyr,,,,empresa4
tzs lab,,,,empresa3
u cred,,,,empresa3
uCondo,,,,empresa4
ubuild,,,,empresas2
um/quarto (1/4),,,,empresa3
umbria construção modular,,,,empresas2
upgrade,,,,empresas2
urbIA,,,,empresa1
urbay,,,,empresa3
urbe.me,,,,empresa1
urbit,,,,empresa1
valeti,,,,empresa4
valora,,,,empresa4
vanguardi,,,,empresa1
vendPerto - mini market,,,,empresa4
vendify,,,,empresa4
veromobili,,,,empresa4
vertra,,,,empresa3
verum.digital,,,,empresas2
viajar temporada,,,,empresa3
vila 360,,,,empresa3
vistahub,,,,empresa3
vistora,,,,empresas2
vistoria completa,,,,empresa3
vobi,,,,empresa4
w3lcome,,,,empresa4
wali,,,,empresa4
wconnect,,,,empresa3
we.br,,,,empresa1
web escritórios,,,,empresa3
web industrial,,,,empresa3
wecare,,,,empresa4
wecharge,,,,empresa4
wedoctors,,,,empresa4
welhome,,,,empresa4
weplan,,,,empresa4
where,,,,empresa4
widesys,,,,empresa3
wikeep,,,,empresa1
winker,,,,empresa4
woba,,,,empresa4
wohpag,,,,empresa4
xtay,,,,empresa4
yellot,,,,empresa4
yellotmob,,,,empresa4
yogha.,,,,empresa4
yolo coliving,,,,empresa4
yourside group,,,,empresa3
zatio,,,,empresas2
zero comissão,,,,empresa3
zigoo,,,,empresa3
zimobi,,,,empresa3
zixpay,,,,empresa3
zuk,,,,empresa3
Éleme,,,,empresa4
órulo,,,,empresa3
