nome_empresa,categoria_principal,subcategoria1,subcategoria2,coluna_origem
DUNA SYSTEM,,,,empresa1
DUNNING - Gestão de Recebíveis,,,,empresa3
DURASA,,,,empresas2
DWV App,,,,empresa3
Datanomik,,,,empresas2
Datlo,,,,empresa3
DeCASA,,,,empresa4
Decorafit,,,,empresa4
Decore Certo,,,,empresa4
Delfos,,,,empresa4
Digit.ai - Solução MAGIT,,,,empresa3
Docking Modules - construindo o futuro,,,,empresas2
DoctorCondo,,,,empresa4
Dommus (tecnologia),,,,empresa3
DronEng - Drones e Engenharia,,,,empresas2
DronePower,,,,empresa4
Dropview,,,,empresa3
DynamoTech - Innovation...always,,,,empresa3
EAP - engenharia de alta performance,,,,empresas2
EASY ALERT,,,,empresas2
EBRICKS,,,,empresas2
ECOTELHASOLAR,,,,empresas2
EEmovel - inteligência imobiliária,,,,empresa3
EGRONN,,,,empresa4
ELEPHANTSKIN,,,,empresa3
ELEVENTEC,,,,empresa4
ENERGY Review,,,,empresa4
ESTAIADA,,,,empresa4
ETHOS VIVET,,,,empresa4
EU NA OBRA .com,,,,empresas2
"EVOP - Orçamento, Planejamento e Gestão de Obras",,,,empresas2
EXPANDIFY - Grow Your Business,,,,empresa3
EXY - empowering people,,,,empresas2
EZVolt,,,,empresa4
EasyCrédito - seu crédito na palma da mão,,,,empresa3
EasyFront,,,,empresa4
Eco Circuito,,,,empresa4
EcoNEXT - the next generation of building,,,,empresas2
Ecosol - condomínio solar,,,,empresa4
Electy,,,,empresa4
Eletricus,,,,empresa4
Energia das Coisas,,,,empresa4
Enerzee,,,,empresa4
Engelink,,,,empresa4
Escala 3D,,,,empresa3
Esphera academy,,,,empresas2
Everflow,,,,empresas2
FACILITAT - desempenho no pós-obra,,,,empresas2
FASTBUILT,,,,empresas2
FCanalise digital,,,,empresa3
FINANZ,,,,empresa3
FLIP,,,,empresa3
FLOPO,,,,empresas2
FLUGDRONES,,,,empresas2
FOHAT,,,,empresa4
FOTOP,,,,empresa3
FYRStudio,,,,empresa3
Facilit'Air - Soluções por Drones,,,,empresas2
Facilita.,,,,empresa3
Fantástiko - marketplace imobiliário,,,,empresa3
FazendaAberta,,,,empresa1
Felí,,,,empresa3
Fiantec - Fiança Locatícia,,,,empresa3
Fiança Rápida,,,,empresa3
Fin.Yellow,,,,empresa4
FireFly,,,,empresa3
First Energy,,,,empresa4
Flix,,,,empresa3
Forinvest,,,,empresa3
Fuel,,,,empresa3
GADUGI Reformas,,,,empresa4
GENIA,,,,empresa3
GENNTE,,,,empresa4
GENYX,,,,empresa4
GEOINOVA,,,,empresas2
GERENCIA OBRAS,,,,empresas2
GERO OBRAS,,,,empresas2
GESCORPGO,,,,empresas2
GESTOP - Gestão Transparente de Obras Públicas,,,,empresas2
GISBASE - geoinformation system,,,,empresa1
GO - GestorObras,,,,empresas2
GREENPLAT - accelerating sustainable production,,,,empresas2
GVB - virtualização de construções,,,,empresa1
Gabriel,,,,empresa4
Gabster,,,,empresa1
Garantii,,,,empresa3
GaussFleet,,,,empresas2
Geomart,,,,empresa1
GoPrestador,,,,empresa4
Green Mining,,,,empresa4
GreenAnt,,,,empresa4
Grupo palavra,,,,empresa3
Gynga,,,,empresa4
HAILA,,,,empresa4
HAUS agência imobiliária,,,,empresa3
HAUSENN+,,,,empresa4
HEIMA SOLUTIONS,,,,empresas2
HELPIE!,,,,empresa4
HIDROMETRIC,,,,empresa4
HOFF ANALYTICS - big data solutions,,,,empresa1
HOMELEND,,,,empresa3
HQBeds,,,,empresa4
HR Digital,,,,empresa4
HSystem,,,,empresa4
HYGGE,,,,empresa1
HYPNOBOX,,,,empresa3
Hashlar - Real Estate Crypto Payment,,,,empresa3
Haus Imobi (imóveis),,,,empresa3
Hidrau conex - materiais hidráulicos,,,,empresas2
Hinc,,,,empresas2
Hitemp - soluções tecnológicas,,,,empresas2
HomeHub - by Judice&Araujo,,,,empresa3
Homeroque,,,,empresa3
Honest Market,,,,empresa4
Housi,,,,empresa4
Housi'o,,,,empresa3
Hub Growth,,,,empresa3
IGOAL - tecnologia,,,,empresa4
IMOBASE,,,,empresa3
IMOTECH - inovação e tecnologia,,,,empresa3
IN BUILT,,,,empresas2
INCHARGE,,,,empresa4
INCO,,,,empresa1
INFRACITIES,,,,empresa1
INMETA software,,,,empresas2
INOVA URBIS,,,,empresa1
INTEC,,,,empresa1
ISMOB,,,,empresa3
ITDOC,,,,empresa3
Imobcoin,,,,empresa1
ImobiBrasil,,,,empresa3
ImóveisPRO,,,,empresa3
ImóvelAPP,,,,empresa3
InHouse market,,,,empresa4
